,NAME,,,省会,经度,纬度
200,吕梁,,,,111.3369513,37.73091345
201,马鞍山,,,,118.6293169,31.53147462
202,茂名,,,,110.8266203,22.02428292
203,眉山,,,,104.0867002,29.92100023
204,梅州,,,,116.1354601,24.14393902
205,绵阳,,,,104.6195647,31.87930014
206,牡丹江,,,,130.0281054,44.64682842
207,那曲,,,,87.72472435,32.88563887
208,南充,,,,106.327027,31.16356804
209,南平,,,,118.1526174,27.31535968
210,南通,,,,121.0803678,32.16857345
211,南阳,,,,112.1451477,33.04298601
212,内江,,,,104.9321514,29.61775325
213,宁波,,,,121.5360117,29.65854706
214,宁德,,,,119.7070104,26.95389277
215,怒江傈僳族,,,,98.89160335,27.00589485
216,攀枝花,,,,101.7456866,26.71690019
217,盘锦,,,,122.0598107,41.04958093
218,平顶山,,,,112.9212932,33.74131305
219,平凉,,,,107.0956044,35.34142947
220,萍乡,,,,113.9009129,27.48495968
221,莆田,,,,118.9599884,25.35493365
222,濮阳,,,,115.2765074,35.76345609
223,普洱,,,,100.9122304,23.47220525
224,七台河,,,,131.0894975,45.91604186
225,齐齐哈尔,,,,124.58874,47.55095036
226,潜江,,,,112.7331204,30.36393385
227,黔东南苗族侗族,,,,108.4222448,26.41707635
228,黔南布依族苗族,,,,107.2552507,26.28449356
229,黔西南布依族苗族,,,,105.541228,25.40830429
230,钦州,,,,108.8669055,22.09243357
231,秦皇岛,,,,119.355514,40.01272947
232,青岛,,,,120.6408,36.29710898
233,清远,,,,113.1099755,24.3248291
234,庆阳,,,,107.7562106,36.21321378
235,琼海,,,,110.4777691,19.22630113
236,琼中黎族苗族自治县,,,,109.8664996,19.07588623
237,衢州,,,,118.8025807,28.84792307
238,曲靖,,,,103.9157736,25.70077854
239,泉州,,,,118.3465269,25.11582452
240,日喀则,,,,86.90952719,29.68204183
241,日照,,,,119.1930902,35.51651878
242,三门峡,,,,110.8228237,34.32008811
243,三明,,,,117.5716851,26.30528105
244,三沙,,,,112.1474418,16.54739544
245,三亚,,,,109.3758163,18.36032986
246,厦门,,,,118.1432558,24.64458393
247,山南,,,,92.31234588,28.29202329
248,汕头,,,,116.5998666,23.34663454
249,汕尾,,,,115.5729405,23.04371704
250,商洛,,,,109.8692894,33.76103735
251,商丘,,,,115.7115539,34.28667948
252,上饶,,,,117.8488089,28.73069251
253,韶关,,,,113.5690094,24.70910004
254,邵阳,,,,110.6843381,26.81609673
255,绍兴,,,,120.524952,29.77427943
256,深圳,,,,113.9309759,22.54467933
257,神农架林区,,,,110.5857099,31.58193562
258,十堰,,,,110.4214517,32.39500992
259,石河子,,,,86.04301013,44.28365495
260,石嘴山,,,,106.5248586,38.99772665
261,双鸭山,,,,133.0204633,46.67548733
262,朔州,,,,112.6675581,39.69201763
263,四平,,,,124.532297,43.49461562
264,松原,,,,124.182004,44.82274962
265,苏州,,,,120.7142335,31.37918518
266,绥化,,,,126.67145,46.8382787
267,随州,,,,113.3934449,31.87866395
268,遂宁,,,,105.4672592,30.67376117
269,塔城,,,,83.88287428,45.26107129
270,台州,,,,121.1463561,28.67762289
271,泰安,,,,117.1258834,36.07010375
272,泰州,,,,120.037481,32.56784881
273,唐山,,,,118.1915408,39.69303773
274,天门,,,,113.0799364,30.64836136
275,天水,,,,105.5656114,34.62254293
276,铁岭,,,,124.3299799,42.67320389
277,通化,,,,125.7846057,41.93269684
278,通辽,,,,122.1539515,43.79918543
279,铜川,,,,108.9880147,35.19343448
280,铜陵,,,,117.9435023,30.93391772
281,铜仁,,,,108.5509469,28.10944184
282,图木舒克,,,,79.26737952,39.90651821
283,吐鲁番,,,,89.76518529,42.32881751
284,屯昌县,,,,109.9996118,19.36331772
285,万宁,,,,110.3384005,18.83991982
286,威海,,,,122.1777365,37.11453534
287,潍坊,,,,119.088962,36.53505593
288,渭南,,,,109.7553689,35.02870248
289,温州,,,,120.5162656,27.8329185
290,文昌,,,,110.8815085,19.7847421
291,文山壮族苗族,,,,104.9317117,23.60264932
292,乌海,,,,106.8188064,39.46640852
293,乌兰察布,,,,112.6393942,41.76522987
294,无锡,,,,120.3238766,31.5304183
295,芜湖,,,,118.3249629,31.08074968
296,吴忠,,,,106.6112459,37.44052065
297,梧州,,,,111.0333863,23.50933126
298,五家渠,,,,87.59966462,44.32306246
299,五指山,,,,109.5326488,18.83194597
300,武威,,,,102.7685946,38.07199342
301,西双版纳傣族,,,,100.8327548,21.83805393
302,锡林郭勒盟,,,,114.7700177,44.28798199
303,仙桃,,,,113.3766223,30.30124272
304,咸宁,,,,114.276745,29.65834511
305,咸阳,,,,108.3251664,34.86761998
306,湘潭,,,,112.5239574,27.71275071
307,湘西土家族苗族,,,,109.7664217,28.68234174
308,襄阳,,,,111.9855566,31.92983807
309,孝感,,,,113.8259596,31.11987582
310,忻州,,,,112.3990817,38.89233929
311,新乡,,,,113.9478256,35.35408511
312,新余,,,,114.947007,27.81551878
313,信阳,,,,114.8363292,32.03279238
314,邢台,,,,114.7883859,37.29677736
315,兴安盟,,,,120.8257035,45.99234672
316,宿迁,,,,118.4790913,33.78565465
317,宿州,,,,117.3372984,33.93515044
318,徐州,,,,117.7663347,34.30012437
319,许昌,,,,113.798696,34.04254085
320,宣城,,,,118.694109,30.64204762
321,雅安,,,,102.7141555,29.90162538
322,烟台,,,,121.0236568,37.49794859
323,延安,,,,109.5523427,36.42909345
324,延边朝鲜族,,,,128.7733731,43.17098476
325,盐城,,,,120.0968098,33.56867931
326,扬州,,,,119.5523477,32.8096401
327,阳江,,,,111.7376569,22.07460838
328,阳泉,,,,113.4071225,38.09561168
329,伊春,,,,128.9581796,47.97455253
330,伊犁哈萨克,,,,81.75345508,43.79041384
331,宜宾,,,,104.7548346,28.5731105
332,宜昌,,,,111.2445223,30.76281553
333,宜春,,,,115.057287,28.32037458
334,益阳,,,,112.4313319,28.74878591
335,鹰潭,,,,117.0461231,28.24441385
336,营口,,,,122.5297047,40.42395311
337,永州,,,,111.8899354,25.75263878
338,榆林,,,,109.7480645,38.21728133
339,玉林,,,,110.2822663,22.38318642
